Lane,"Assembly Type","Total Length","No Contigs","Avg Contig Length","Largest Contig",N50,"Contigs in N50",N60,"Contigs in N60",N70,"Contigs in N70",N80,"Contigs in N80",N90,"Contigs in N90",N100,"Contigs in N100","No scaffolded bases (N)","Total Raw Reads","Reads Mapped","Reads Unmapped","Reads Paired","Reads Unpaired","Total Raw Bases","Total Bases Mapped","Total Bases Mapped (Cigar)","Average Read Length","Maximum Read Length","Average Quality","Insert Size Average","Insert Size Std Dev"
21320_8#11,"Scaffold: Velvet + Improvement",6240103,28,222860.82,1947087,582714,3,558916,4,352539,6,275407,8,228609,10,308,28,22,1846792,1838701,8091,1846792,,278865592,277643851,275042420,151,151,36.4,499.6,88.1
21320_8#12,"Scaffold: Velvet + Improvement",6238591,26,239945.81,1111174,768828,4,417317,5,414078,6,394813,8,275409,9,314,26,1,1871982,1863580,8402,1871982,,282669282,281400580,278908888,151,151,36.6,479.3,87.7
21320_8#13,"Scaffold: Velvet + Improvement",6242610,28,222950.36,1675247,768839,3,417523,5,413547,6,312475,8,242369,10,314,28,270,2396822,2387161,9661,2396822,,361920122,360461311,357532872,151,151,36.7,478.9,84.1
21320_8#14,"Scaffold: Velvet + Improvement",6237465,25,249498.60,1111374,558916,4,488888,6,412011,7,330428,9,161379,11,314,25,2,2514736,2505227,9509,2514736,,379725136,378289277,375176836,151,151,36.6,474.7,87.4
21320_8#15,"Scaffold: Velvet + Improvement",6237835,27,231030.93,1671371,727532,3,417317,5,412017,6,312418,8,240619,10,314,27,1,2418202,2405615,12587,2418202,,365148502,363247865,359346408,151,151,36.2,524.3,87.9
21320_8#16,"Scaffold: Velvet + Improvement",6244070,34,183649.12,1114159,609761,4,417894,6,413564,7,312541,9,228729,11,197,34,287,2664274,2654136,10138,2664274,,402305374,400774536,397410518,151,151,36.6,494.9,85.1
21320_8#17,"Scaffold: Velvet + Improvement",6240654,25,249626.16,1035160,559952,5,414358,6,413849,7,312445,9,242740,11,301,25,2,2873814,2862764,11050,2873814,,433945914,432277364,429047268,151,151,36.9,468.7,81.6
21320_8#18,"Scaffold: Velvet + Improvement",6240016,27,231111.70,1530872,558915,4,505060,5,412126,7,395365,8,242306,10,308,27,299,2245464,2236477,8987,2245464,,339065064,337708027,334789378,151,151,36.6,489.3,86.3
21320_8#19,"Scaffold: Velvet + Improvement",6242539,29,215259.97,1112839,656855,4,582724,5,415349,7,395000,8,275411,10,308,29,0,2291844,2282820,9024,2291844,,346068444,344705820,341830987,151,151,36.7,483.1,84.9
21320_8#20,"Scaffold: Velvet + Improvement",6239659,27,231098.48,1203656,575348,4,558916,5,394887,7,330429,8,275406,10,308,27,97,2137816,2129275,8541,2137816,,322810216,321520525,318866434,151,151,36.7,479.8,84.0
21320_8#21,"Scaffold: Velvet + Improvement",6241565,24,260065.21,1317741,609674,4,559711,5,395690,7,312438,8,228792,11,314,24,213,2345038,2336514,8524,2345038,,354100738,352813614,350097735,151,151,36.8,478.5,86.9
21320_8#22,"Scaffold: Velvet + Improvement",6239423,29,215152.52,1231076,558916,4,412360,5,396101,7,303482,9,242374,11,308,29,463,2172308,2163282,9026,2172308,,328018508,326655582,323887823,151,151,36.7,486.5,86.7
21320_8#23,"Scaffold: Velvet + Improvement",6240923,30,208030.77,1164779,768819,4,412079,5,408852,6,312418,8,275407,10,314,30,377,1880268,1871558,8710,1880268,,283920468,282605258,279975516,151,151,36.5,486.9,92.6
21320_8#24,"Scaffold: Velvet + Improvement",6242771,23,271424.83,1671506,768824,3,609668,4,394999,6,312421,7,228561,10,314,23,545,2232858,2224363,8495,2232858,,337161558,335878813,333145055,151,151,36.8,472.8,96.4
21320_8#25,"Scaffold: Velvet + Improvement",6248975,29,215481.90,1113902,475843,5,466722,6,413824,7,273895,10,228677,12,314,29,185,2290838,2280984,9854,2290838,,345916538,344428584,341353938,151,151,36.6,495.8,92.0
21320_8#26,"Scaffold: Velvet + Improvement",6239601,32,194987.53,1116969,558466,5,417317,6,412102,7,275407,9,228628,12,300,32,11,2049844,2041543,8301,2049844,,309526444,308272993,305752787,151,151,36.7,470.1,85.7
21320_8#27,"Scaffold: Velvet + Improvement",6239342,28,222833.64,1112556,545776,5,417317,6,414078,7,394660,9,228926,11,308,28,180,2034536,2025980,8556,2034536,,307214936,305922980,303288712,151,151,36.6,474.1,88.2
21320_8#28,"Scaffold: Velvet + Improvement",6238741,30,207958.03,900151,414103,5,394994,7,312417,9,269325,11,228584,13,308,30,110,2099946,2091259,8687,2099946,,317091846,315780109,313132993,151,151,36.6,477.5,85.5
21320_8#29,"Scaffold: Velvet + Improvement",6237920,29,215100.69,1112644,580245,4,414079,6,412079,7,313556,9,241784,11,314,29,8,1983480,1974404,9076,1983480,,299505480,298135004,295564975,151,151,36.6,486.2,84.4
21320_8#30,"Scaffold: Velvet + Improvement",6240452,28,222873.29,1112556,558916,4,412011,6,394997,7,275407,9,242329,11,314,28,300,1783426,1776212,7214,1783426,,269297326,268208012,266145797,151,151,36.8,477.9,82.7
21320_8#31,"Scaffold: Velvet + Improvement",6239069,31,201260.29,900382,414078,5,394997,7,312417,9,269324,11,216692,13,308,31,2,1989590,1982359,7231,1989590,,300428090,299336209,297015817,151,151,36.8,478.6,81.6
21320_8#32,"Scaffold: Velvet + Improvement",6240650,32,195020.31,1111375,558916,4,417317,6,414223,7,311191,9,269339,11,308,32,7,1987588,1980526,7062,1987588,,300125788,299059426,296846705,151,151,36.9,464.9,85.8
21320_8#33,"Scaffold: Velvet + Improvement",6238910,28,222818.21,1165787,558941,5,417318,6,411730,7,312341,9,269375,11,308,28,2,2543028,2532757,10271,2543028,,383997228,382446307,379020927,151,151,36.6,493.5,98.7
21320_8#34,"Scaffold: Velvet + Improvement",6240630,30,208021.00,1164830,417317,5,414609,6,394944,8,275426,10,228817,12,308,30,49,2527088,2516513,10575,2527088,,381590288,379993463,376580286,151,151,36.5,495.7,86.5
21320_8#35,"Scaffold: Velvet + Improvement",6239614,29,215159.10,1223429,558916,4,412011,5,394997,7,312417,8,273132,10,308,29,1,2140524,2132296,8228,2140524,,323219124,321976696,319213050,151,151,36.6,488.2,86.7
21320_8#36,"Scaffold: Velvet + Improvement",6235359,33,188950.27,768827,394214,6,275407,8,272739,10,229724,13,159232,16,382,33,1026,1947514,1939660,7854,1947514,,294074614,292888660,290688108,151,151,36.9,473.4,82.9
21320_8#37,"Scaffold: Velvet + Improvement",6238983,27,231073.44,1168954,579661,4,558917,5,412360,6,312417,8,239877,10,308,27,24,2110624,2102597,8027,2110624,,318704224,317492147,315029747,151,151,36.8,477.4,87.0
21320_8#38,"Scaffold: Velvet + Improvement",6238414,25,249536.56,1583588,768824,3,651393,4,558917,5,394997,7,275407,9,314,25,393,2094340,2086141,8199,2094340,,316245340,315007291,312606107,151,151,36.8,474.8,86.2
21320_8#39,"Scaffold: Velvet + Improvement",6238996,27,231073.93,1112602,558917,5,418397,6,412078,7,312510,9,161361,12,314,27,141,2129880,2122008,7872,2129880,,321611880,320423208,317909067,151,151,36.7,481.9,83.8
21320_8#40,"Scaffold: Velvet + Improvement",6239522,33,189076.42,1671270,727539,3,410900,5,312417,7,275407,9,169135,11,308,33,2,1958230,1948709,9521,1958230,,295692730,294255059,291369124,151,151,36.4,511.7,98.4
21320_8#41,"Scaffold: Velvet + Improvement",6237527,33,189015.97,1170222,500832,4,414205,6,412010,7,311178,9,239872,11,314,33,29,2753310,2742739,10571,2753310,,415749810,414153589,411050365,151,151,36.8,475.8,83.1
21320_8#42,"Scaffold: Velvet + Improvement",6241645,22,283711.14,1319950,500715,4,414220,5,395100,7,276553,9,242370,11,314,22,778,2325104,2315570,9534,2325104,,351090704,349651070,346692961,151,151,36.6,486.1,85.0
21320_8#43,"Scaffold: Velvet + Improvement",6239707,31,201280.87,1117056,558916,4,414078,6,411473,7,307421,9,169715,12,308,31,1,2334162,2325910,8252,2334162,,352458462,351212410,348344134,151,151,36.7,494.1,87.5
21320_8#44,"Scaffold: Velvet + Improvement",6239715,30,207990.50,1171348,417385,5,417317,6,395935,8,275389,10,228453,12,308,30,305,2348754,2339716,9038,2348754,,354661854,353297116,350298364,151,151,36.6,489.3,90.8
21320_8#45,"Scaffold: Velvet + Improvement",6195693,27,229470.11,1112670,662499,4,640121,5,558915,6,408990,8,242348,10,314,27,0,2154870,2146057,8813,2154870,,325385370,324054607,321363273,151,151,36.6,484.2,84.7
21320_8#46,"Scaffold: Velvet + Improvement",6237417,29,215083.34,1111374,558625,5,413204,6,395251,7,311177,9,228666,11,308,29,39,2365564,2358077,7487,2365564,,357200164,356069627,353568467,151,151,37.1,448.6,84.3
21320_8#47,"Scaffold: Velvet + Improvement",6238323,27,231049.00,1169333,558916,4,515437,5,418398,6,411753,7,161361,10,300,27,61,1970718,1963173,7545,1970718,,297578418,296439123,294057504,151,151,36.7,476.0,84.8
21320_8#48,"Scaffold: Velvet + Improvement",6238392,29,215116.97,1111368,417318,5,408624,7,395171,8,312417,10,228583,12,314,29,1,2221822,2213038,8784,2221822,,335495122,334168738,331550239,151,151,36.7,482.8,83.5
21320_8#49,"Scaffold: Velvet + Improvement",6238561,24,259940.04,1502194,768844,3,558916,4,417318,5,379466,7,239868,9,308,24,58,2436846,2425700,11146,2436846,,367963746,366280700,363273015,151,151,36.7,477.1,85.7
21320_8#51,"Scaffold: Velvet + Improvement",6242392,22,283745.09,1169016,662236,4,500839,5,413832,7,395134,8,275419,10,314,22,16,2373396,2364003,9393,2373396,,358382796,356964453,353869731,151,151,36.6,494.0,86.6
21320_8#52,"Scaffold: Velvet + Improvement",6196064,30,206535.47,1111475,558916,4,481928,6,416344,7,300714,9,242335,11,308,30,1,2094690,2086167,8523,2094690,,316298190,315011217,312339499,151,151,36.6,479.0,92.9
21320_8#53,"Scaffold: Velvet + Improvement",6238812,32,194962.88,899930,492771,5,408660,7,394997,8,275407,10,211541,13,308,32,1,1967448,1958747,8701,1967448,,297084648,295770797,293349670,151,151,36.7,475.2,89.6
21320_8#54,"Scaffold: Velvet + Improvement",6235850,24,259827.08,1112253,558971,4,452928,6,378210,7,307421,9,272249,11,308,24,278,1767526,1761105,6421,1767526,,266896426,265926855,263978600,151,151,36.9,473.6,80.9
21320_8#55,"Scaffold: Velvet + Improvement",6237163,21,297007.76,1583026,808699,3,559023,4,411730,5,312417,7,242325,9,314,21,513,2082368,2074659,7709,2082368,,314437568,313273509,310985227,151,151,36.8,463.7,85.2
21320_8#56,"Scaffold: Velvet + Improvement",6235390,28,222692.50,1111849,455440,5,417318,6,394214,8,312417,9,157977,12,302,28,1,2352752,2342666,10086,2352752,,355265552,353742566,350823933,151,151,36.7,481.0,87.2
21320_8#57,"Scaffold: Velvet + Improvement",6239435,29,215152.93,1182826,558916,4,423979,5,395304,7,275407,9,228608,11,308,29,170,2550980,2539507,11473,2550980,,385197980,383465557,380097465,151,151,36.6,494.2,87.1
21320_8#58,"Scaffold: Velvet + Improvement",6237326,29,215080.21,1164813,418397,5,412011,6,312417,8,272811,10,161361,13,314,29,117,2064396,2055181,9215,2064396,,311723796,310332331,307570755,151,151,36.6,485.8,86.4
21320_8#59,"Scaffold: Velvet + Improvement",6238413,26,239938.96,1148818,721146,4,656845,5,413092,6,307478,8,275397,10,308,26,349,1943832,1933918,9914,1943832,,293518632,292021618,288990333,151,151,36.3,519.2,92.3
21320_8#60,"Scaffold: Velvet + Improvement",6235371,31,201141.00,901153,443698,5,330428,7,275409,9,241008,12,157935,15,302,31,133,1835302,1827877,7425,1835302,,277130602,276009427,273863755,151,151,36.8,469.7,85.4
21320_8#61,"Scaffold: Velvet + Improvement",6240708,25,249628.32,1115558,558935,4,419196,6,413824,7,312422,9,161365,11,314,25,525,2174342,2165315,9027,2174342,,328325642,326962565,324149807,151,151,36.7,476.9,87.0
21320_8#62,"Scaffold: Velvet + Improvement",6236702,32,194896.94,1725770,417317,4,411472,5,312417,7,241984,9,157965,12,314,32,1,1968872,1958660,10212,1968872,,297299672,295757660,292786415,151,151,36.3,495.9,86.3
21320_8#63,"Scaffold: Velvet + Improvement",6235917,22,283450.77,1111856,662507,4,516428,5,417317,7,412011,8,311178,10,314,22,1,2131032,2121590,9442,2131032,,321785832,320360090,317589079,151,151,36.6,477.8,87.9
21320_8#64,"Scaffold: Velvet + Improvement",6239528,30,207984.27,1116963,558916,4,412103,6,408652,7,312440,9,242312,11,308,30,50,1952948,1944937,8011,1952948,,294895148,293685487,291175789,151,151,36.7,478.8,94.3
21320_8#65,"Scaffold: Velvet + Improvement",6240428,21,297163.24,1182479,651418,4,558986,5,412020,7,312425,8,275402,10,314,21,633,2354626,2346169,8457,2354626,,355548526,354271519,351558552,151,151,36.8,473.2,84.6
21320_8#66,"Scaffold: Velvet + Improvement",6236874,26,239879.77,900273,414222,5,412005,6,330429,8,275407,10,239856,12,314,26,23,1814586,1805833,8753,1814586,,274002486,272680783,270373508,151,151,36.7,482.7,84.4
21320_8#67,"Scaffold: Velvet + Improvement",6237655,29,215091.55,1113749,421697,5,350170,7,312289,8,272836,11,161361,13,314,29,1,1885812,1875285,10527,1885812,,284757612,283168035,280414180,151,151,36.4,483.1,104.2
21320_8#68,"Scaffold: Velvet + Improvement",6239511,29,215155.55,822291,492774,5,416357,6,312417,8,275405,10,242744,12,308,29,40,2103456,2092635,10821,2103456,,317621856,315987885,312809555,151,151,36.3,506.1,86.2
21320_8#69,"Scaffold: Velvet + Improvement",6241974,26,240075.92,1496703,582717,3,419907,4,395000,6,312459,7,161365,10,305,26,0,2257820,2248650,9170,2257820,,340930820,339546150,336985787,151,151,36.5,477.3,83.1
21320_8#70,"Scaffold: Velvet + Improvement",6239014,28,222821.93,1165760,651206,4,558916,5,400625,7,330429,8,275407,10,314,28,54,2267374,2258798,8576,2267374,,342373474,341078498,338299866,151,151,36.6,485.4,85.7
21320_8#71,"Scaffold: Velvet + Improvement",6239848,31,201285.42,1111958,558915,4,414107,6,412011,7,307594,9,168892,12,307,31,11,2016266,2007524,8742,2016266,,304456166,303136124,300322363,151,151,36.5,512.4,90.6
21320_8#72,"Scaffold: Velvet + Improvement",6235491,24,259812.12,1166992,558917,5,517038,6,417317,7,312417,9,228608,11,314,24,46,2007812,2000384,7428,2007812,,303179612,302057984,299757334,151,151,36.8,467.8,86.8
21320_8#73,"Scaffold: Velvet + Improvement",6238653,27,231061.22,901237,732738,4,558917,5,411730,7,394995,8,212391,11,308,27,1,2327850,2317957,9893,2327850,,351505350,350011507,347180604,151,151,36.7,481.5,83.8
21320_8#74,"Scaffold: Velvet + Improvement",6238305,24,259929.38,1627063,519039,4,479319,5,417317,6,408495,8,312417,9,314,24,82,2309720,2299971,9749,2309720,,348767720,347295621,344252821,151,151,36.4,495.1,84.8
21320_8#75,"Scaffold: Velvet + Improvement",6236372,27,230976.74,1164705,580246,4,411730,6,394998,7,312417,9,228584,12,308,27,2,2073472,2065766,7706,2073472,,313094272,311930666,309645076,151,151,36.9,466.2,83.6
21320_8#76,"Scaffold: Velvet + Improvement",6227856,24,259494.00,1181205,580271,4,412012,6,394997,7,312417,9,242322,11,308,24,88,1907544,1899522,8022,1907544,,288039144,286827822,284347533,151,151,36.6,486.8,87.3
21320_8#77,"Scaffold: Velvet + Improvement",6239893,32,194996.66,1111375,417320,5,412010,6,272758,8,242331,11,143016,14,363,32,2,2189320,2180043,9277,2189320,,330587320,329186493,326264603,151,151,36.6,485.0,95.3
21320_8#78,"Scaffold: Velvet + Improvement",6236969,31,201192.55,901764,505035,5,395203,7,311238,9,272726,11,161416,13,308,31,260,1662374,1655168,7206,1662374,,251018474,249930368,247740381,151,151,36.5,487.8,86.1
21320_8#79,"Scaffold: Velvet + Improvement",6241417,26,240054.50,901181,731622,4,558919,5,394736,7,312385,8,212097,11,308,26,505,2071944,2063844,8100,2071944,,312863544,311640444,309145213,151,151,36.8,472.9,86.9
21320_8#80,"Scaffold: Velvet + Improvement",6238779,29,215130.31,1230503,582658,4,414079,6,394223,7,275406,9,161361,12,308,29,69,1919504,1911535,7969,1919504,,289845104,288641785,286487668,151,151,36.8,467.4,79.6
21320_8#81,"Scaffold: Velvet + Improvement",6242287,23,271403.78,1675246,730027,3,651225,4,419039,6,413203,7,275414,9,314,23,529,2237010,2228520,8490,2237010,,337788510,336506520,333750947,151,151,36.5,479.3,82.9
21320_8#82,"Scaffold: Velvet + Improvement",6238194,26,239930.54,1112294,580227,4,414089,6,411765,7,312416,9,269325,11,302,26,1,2747836,2737327,10509,2747836,,414923236,413336377,410127053,151,151,36.7,470.3,83.6
21320_8#83,"Scaffold: Velvet + Improvement",6237363,27,231013.44,1169111,578174,4,476486,6,412011,7,275407,9,243462,11,308,27,1,1996484,1989237,7247,1996484,,301469084,300374787,298257522,151,151,36.9,462.7,88.4
21320_8#84,"Scaffold: Velvet + Improvement",6235650,27,230950.00,1460343,558467,4,412230,5,312471,7,228632,10,139733,13,314,27,675,1845984,1839299,6685,1845984,,278743584,277734149,275664893,151,151,36.8,474.0,84.1
21320_8#85,"Scaffold: Velvet + Improvement",6239503,24,259979.29,1168791,727448,4,559997,5,417444,6,312428,8,275413,10,308,24,108,2212384,2204779,7605,2212384,,334069984,332921629,330508829,151,151,36.8,476.9,84.3
21320_8#86,"Scaffold: Velvet + Improvement",6243279,22,283785.41,1674606,768818,3,651400,4,581375,5,352950,7,280854,9,314,22,38,1922226,1915172,7054,1922226,,290256126,289190972,287172643,151,151,36.9,469.1,83.3
21320_8#87,"Scaffold: Velvet + Improvement",6242338,26,240089.92,1444334,768791,3,582773,4,558992,5,312514,7,228604,9,312,26,153,2067538,2060198,7340,2067538,,312198238,311089898,308714064,151,151,36.6,469.0,85.5
21320_8#88,"Scaffold: Velvet + Improvement",6236670,29,215057.59,1231504,580247,4,558916,5,412011,6,312417,8,212392,10,308,29,1,2122238,2114292,7946,2122238,,320457938,319258092,316772955,151,151,36.8,470.7,84.8
21320_8#89,"Scaffold: Velvet + Improvement",6237312,26,239896.62,1231410,558623,4,411731,5,394998,7,275406,9,240872,11,314,26,28,2001802,1994633,7169,2001802,,302272102,301189583,299126295,151,151,36.9,464.7,79.1
21320_8#90,"Scaffold: Velvet + Improvement",6238240,28,222794.29,899929,475391,5,413887,6,331629,8,281456,10,161361,13,308,28,180,1977920,1970131,7789,1977920,,298665920,297489781,295376710,151,151,36.9,459.2,89.2
21320_8#91,"Scaffold: Velvet + Improvement",6238583,26,239945.50,1530873,558967,4,488811,5,394996,7,312417,8,228609,11,307,26,325,2099664,2092228,7436,2099664,,317049264,315926428,313555599,151,151,36.8,471.5,85.3
21320_8#92,"Scaffold: Velvet + Improvement",6241759,22,283716.32,1114742,581382,4,572071,5,413197,7,312539,8,276561,10,314,22,190,2103810,2096381,7429,2103810,,317675310,316553531,314223956,151,151,36.8,473.7,84.4
21320_8#93,"Scaffold: Velvet + Improvement",6242119,24,260088.29,900113,559999,5,419423,6,413481,7,307431,9,168976,12,314,24,130,2442330,2433525,8805,2442330,,368791830,367462275,364688830,151,151,36.8,470.9,85.2
21320_8#94,"Scaffold: Velvet + Improvement",6240855,26,240032.88,1111473,656873,4,558920,5,413251,7,394999,8,275422,10,314,26,0,2136264,2128539,7725,2136264,,322575864,321409389,319044122,151,151,36.9,467.6,86.6
21320_8#95,"Scaffold: Velvet + Improvement",6240795,31,201315.97,899960,556817,5,417317,6,395687,8,311178,10,242326,12,308,31,142,2214564,2206325,8239,2214564,,334399164,333155075,330549457,151,151,36.8,473.8,87.9
21320_8#96,"Scaffold: Velvet + Improvement",6238640,31,201246.45,901359,411472,5,394997,7,312417,9,242329,11,211192,13,314,31,382,2002604,1994915,7689,2002604,,302393204,301232165,298915228,151,151,36.7,472.2,82.7
21320_8#97,"Scaffold: Velvet + Improvement",6238208,28,222793.14,1443882,558916,4,412010,5,394981,7,275407,9,228609,11,308,28,9,2196042,2189262,6780,2196042,,331602342,330578562,328275797,151,151,36.9,460.6,82.0
21320_8#98,"Scaffold: Velvet + Improvement",6234632,29,214987.31,1112959,550652,4,415029,6,414607,7,312429,9,242333,11,300,29,0,2828816,2819441,9375,2828816,,427151216,425735591,422669252,151,151,36.9,445.6,83.8
21320_8#99,"Scaffold: Velvet + Improvement",6239133,26,239966.65,1118059,651171,4,640510,5,558916,6,411731,8,276536,10,308,26,86,2383638,2374864,8774,2383638,,359929338,358604464,355811599,151,151,36.7,468.8,83.2
21320_8#100,"Scaffold: Velvet + Improvement",6240269,29,215181.69,1529685,580264,3,558916,4,394937,6,276546,8,228926,10,308,29,19,2596198,2586015,10183,2596198,,392025898,390488265,387291122,151,151,36.7,470.9,93.4
21320_8#101,"Scaffold: Velvet + Improvement",6240650,20,312032.50,1165857,662220,4,558982,5,413479,7,408843,8,241607,11,314,20,619,2308044,2299846,8198,2308044,,348514644,347276746,344514721,151,151,36.7,478.2,88.4
21320_8#102,"Scaffold: Velvet + Improvement",6242388,24,260099.50,1112947,581490,5,558928,6,413832,7,312429,9,228778,11,314,24,871,2372138,2363267,8871,2372138,,358192838,356853317,354234908,151,151,36.8,474.2,84.1
21320_8#103,"Scaffold: Velvet + Improvement",6236515,25,249460.60,1901614,580204,3,414089,5,411472,6,312417,8,242322,10,308,25,22,2131210,2123214,7996,2131210,,321812710,320605314,318150319,151,151,36.8,466.8,87.0
21320_8#104,"Scaffold: Velvet + Improvement",6237342,25,249493.68,1671955,768797,3,727530,4,417443,5,312417,7,168110,9,314,25,869,1599704,1593232,6472,1599704,,241555304,240578032,238570305,151,151,36.6,480.5,88.9
21320_8#105,"Scaffold: Velvet + Improvement",6236731,29,215059.69,900378,412010,5,343129,7,312418,9,228667,11,161361,14,314,29,0,1837758,1830300,7458,1837758,,277501458,276375300,273830063,151,151,36.6,491.7,100.5
21320_8#106,"Scaffold: Velvet + Improvement",6237565,27,231020.93,1914309,558916,3,418398,4,412012,5,307454,7,168629,10,314,27,437,1689474,1682601,6873,1689474,,255110574,254072751,251789654,151,151,36.5,487.5,94.8
21320_8#107,"Scaffold: Velvet + Improvement",6237064,32,194908.25,1164657,411700,5,399958,6,330428,8,275408,10,228608,12,314,32,1,1838842,1831943,6899,1838842,,277665142,276623393,274435542,151,151,36.7,466.4,85.1
21320_8#108,"Scaffold: Velvet + Improvement",6240988,26,240038.00,1165369,489036,5,419034,6,394870,8,312421,9,228587,12,314,26,174,2199582,2191258,8324,2199582,,332136882,330879958,328155831,151,151,36.7,482.6,88.0
21320_8#109,"Scaffold: Velvet + Improvement",6240816,32,195025.50,1790507,580190,3,414606,5,412011,6,312417,8,228674,10,308,32,232,2369454,2361802,7652,2369454,,357787554,356632102,354012826,151,151,36.7,458.0,86.2
21320_8#110,"Scaffold: Velvet + Improvement",6237549,25,249501.96,1111855,580509,4,572194,5,417319,6,312417,8,242708,10,308,25,217,2601636,2591691,9945,2601636,,392847036,391345341,388277264,151,151,36.8,469.1,85.1
21320_8#111,"Scaffold: Velvet + Improvement",6241899,20,312094.95,1114112,609748,4,558977,5,413828,7,395174,8,228975,11,314,20,338,2561322,2553868,7454,2561322,,386759622,385634068,382923615,151,151,36.9,470.8,82.8
21320_8#112,"Scaffold: Velvet + Improvement",6237703,27,231026.04,1111367,518776,5,417318,6,416385,7,394997,9,228583,11,308,27,2,2365284,2356705,8579,2365284,,357157884,355862455,353216572,151,151,36.9,471.2,88.1
21320_8#113,"Scaffold: Velvet + Improvement",6238192,27,231044.15,1181384,651308,4,580192,5,504903,6,412011,8,293858,10,311,27,103,2155150,2147569,7581,2155150,,325427650,324282919,321757308,151,151,36.8,475.3,82.6
21320_8#114,"Scaffold: Velvet + Improvement",6194356,28,221227.00,1164825,560055,4,411753,6,312418,7,272760,10,168114,12,314,28,240,2166958,2158937,8021,2166958,,327210658,325999487,323326901,151,151,36.7,481.5,87.5
21320_8#115,"Scaffold: Velvet + Improvement",6192541,25,247701.64,1112932,539083,4,417318,6,412011,7,275405,9,242458,11,314,25,1,2102628,2094227,8401,2102628,,317496828,316228277,313633181,151,151,36.7,471.7,88.2
21320_8#116,"Scaffold: Velvet + Improvement",6243264,23,271446.26,1112936,656980,4,559032,5,465382,6,395497,8,275415,10,314,23,192,2321274,2312570,8704,2321274,,350512374,349198070,346182668,151,151,36.5,503.4,85.0
21320_8#117,"Scaffold: Velvet + Improvement",6241916,27,231182.07,899653,559018,5,412499,6,395335,7,312429,9,273138,11,314,27,155,2510752,2502379,8373,2510752,,379123552,377859229,375074215,151,151,36.9,467.4,81.5
21320_8#118,"Scaffold: Velvet + Improvement",6238889,27,231069.96,1318677,672333,4,414609,5,394999,7,312417,8,210594,11,308,27,2,2025554,2017849,7705,2025554,,305858654,304695199,302280536,151,151,36.7,465.4,83.4
21320_8#119,"Scaffold: Velvet + Improvement",6239323,30,207977.43,1165095,417317,5,414079,6,352578,8,275407,10,228584,12,308,30,647,2085626,2077968,7658,2085626,,314929526,313773168,311233093,151,151,36.7,482.1,87.7
